HSHD_NUM        ,L,AGE_RANGE                                                                                                                                                                                               ,MARITAL,INCOME_RANGE                                                                                                                                                                                            ,HOMEOWNER,HSHD_COMPOSITION ,HH_SIZE                                                                                                                                                                                                 ,CHILDREN
0839            ,Y,65-74                                                                                                                                                                                                   ,Single ,35-49K                                                                                                                                                                                                  ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,null
2745            ,Y,65-74                                                                                                                                                                                                   ,Single ,50-74K                                                                                                                                                                                                  ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,null
4159            ,N,65-74                                                                                                                                                                                                   ,Single ,100-150K                                                                                                                                                                                                ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,null
0655            ,N,65-74                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,null
0733            ,N,65-74                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,null
2735            ,N,65-74                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,null
3582            ,Y,65-74                                                                                                                                                                                                   ,null   ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,null
3988            ,N,65-74                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,Homeowner,1 Adult          ,1                                                                                                                                                                                                       ,null
0428            ,Y,75+                                                                                                                                                                                                     ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
0881            ,Y,75+                                                                                                                                                                                                     ,Married,35-49K                                                                                                                                                                                                  ,null     ,2 Adults         ,2                                                                                                                                                                                                       ,null
1836            ,Y,75+                                                                                                                                                                                                     ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
2379            ,N,75+                                                                                                                                                                                                     ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
3004            ,Y,75+                                                                                                                                                                                                     ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
2306            ,Y,75+                                                                                                                                                                                                     ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
2319            ,N,75+                                                                                                                                                                                                     ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
3319            ,Y,75+                                                                                                                                                                                                     ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
4372            ,Y,75+                                                                                                                                                                                                     ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
3214            ,Y,75+                                                                                                                                                                                                     ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
0054            ,Y,75+                                                                                                                                                                                                     ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
0808            ,Y,75+                                                                                                                                                                                                     ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
1469            ,N,75+                                                                                                                                                                                                     ,null   ,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
1495            ,N,75+                                                                                                                                                                                                     ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
4719            ,Y,75+                                                                                                                                                                                                     ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
4725            ,Y,75+                                                                                                                                                                                                     ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
2710            ,Y,null                                                                                                                                                                                                    ,Married,50-74K                                                                                                                                                                                                  ,null     ,2 Adults         ,2                                                                                                                                                                                                       ,null
0453            ,Y,19-24                                                                                                                                                                                                   ,Married,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
4623            ,Y,25-34                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,null     ,2 Adults         ,2                                                                                                                                                                                                       ,null
4603            ,N,35-44                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
0264            ,Y,35-44                                                                                                                                                                                                   ,null   ,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
1699            ,Y,45-54                                                                                                                                                                                                   ,null   ,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
3655            ,Y,45-54                                                                                                                                                                                                   ,null   ,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
3969            ,Y,45-54                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
4816            ,Y,45-54                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Renter   ,2 Adults         ,2                                                                                                                                                                                                       ,null
4974            ,Y,45-54                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
3551            ,Y,45-54                                                                                                                                                                                                   ,null   ,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
1404            ,Y,45-54                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
0918            ,Y,55-64                                                                                                                                                                                                   ,null   ,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
1112            ,Y,55-64                                                                                                                                                                                                   ,Married,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
3186            ,Y,55-64                                                                                                                                                                                                   ,Married,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
3274            ,N,55-64                                                                                                                                                                                                   ,Married,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
4363            ,N,55-64                                                                                                                                                                                                   ,Married,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
2150            ,Y,55-64                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
2638            ,Y,55-64                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
0632            ,Y,55-64                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
0812            ,Y,55-64                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,null     ,2 Adults         ,2                                                                                                                                                                                                       ,null
3030            ,N,55-64                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
0982            ,Y,55-64                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
2320            ,N,55-64                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
2420            ,Y,55-64                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
2838            ,Y,55-64                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
0915            ,Y,55-64                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
1618            ,N,55-64                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
1747            ,Y,55-64                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
2555            ,Y,55-64                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
0815            ,Y,55-64                                                                                                                                                                                                   ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
1290            ,Y,65-74                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
1662            ,N,65-74                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
1770            ,Y,65-74                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
4878            ,N,65-74                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
1251            ,Y,65-74                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
3205            ,N,65-74                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
3232            ,N,65-74                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
0720            ,Y,65-74                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
3703            ,Y,65-74                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
2572            ,Y,65-74                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
3151            ,Y,65-74                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,null     ,2 Adults         ,2                                                                                                                                                                                                       ,null
3476            ,Y,65-74                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
2200            ,Y,65-74                                                                                                                                                                                                   ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults         ,2                                                                                                                                                                                                       ,null
